workerid,age,gender,gender_corr,race,race_corr,region,political,edu,lang
1487,52,Female,female,White,White,"Southwest - AZ, NM, OK, TX",Somewhat Conservative,Graduated college,English
1511,28,Female,female,White,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Very Progressive,Graduated college,English
1462,53,male,male,white,White,,Very Progressive,Hold a higher degree,english
1594,24,trans woman,female,puerto rican,Latinx,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Graduated college,English
1319,58,female,female,hispanic,Latinx,"Southwest - AZ, NM, OK, TX",Moderate,Graduated high school,english
1376,24,Female,female,Black,Black,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Conservative,Graduated college,English
1316,33,female,female,white,White,,Very Conservative,Hold a higher degree,english
1310,45,Male,male,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Conservative,Hold a higher degree,English
1566,22,Woman,female,White,White,"Southwest - AZ, NM, OK, TX",Very Progressive,Some college,English
1541,34,agender,nc,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Some college,English
1298,67,Male,male,White,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Progressive,Graduated college,English
1292,49,male,male,white,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Moderate,Graduated high school,english
1322,30,female,female,white,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Progressive,Hold a higher degree,English
1436,28,Female,female,White,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Some college,English
1480,25,Male,male,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Progressive,Graduated high school,English
1587,30,Female,female,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Some college,English
1355,62,Male,male,Asian,Asian,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Somewhat Progressive,Hold a higher degree,English
1358,43,male,male,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Moderate,Graduated college,english
1581,21,non binary,nc,mixed,Mixed,"Southwest - AZ, NM, OK, TX",Very Progressive,Graduated high school,english
1458,50,female,female,black,Black,"Southwest - AZ, NM, OK, TX",Somewhat Conservative,Graduated college,english
1492,43,Female,female,white,White,"Southwest - AZ, NM, OK, TX",Very Progressive,Graduated college,english
1508,51,agender,nc,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Progressive,Some college,english
1385,34,Female,female,White,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Very Conservative,,English
1502,22,Nonbinary,nc,Mixed (Asian/white),Mixed,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Very Progressive,Graduated college,English
1430,20,Male,male,White,White,"Southwest - AZ, NM, OK, TX",Moderate,Some college,English
1505,83,genderfluid,nc,white,White,"Southwest - AZ, NM, OK, TX",Very Progressive,Some college,English
1535,36,Nonbinary,nc,Half white and half Japanese,Mixed,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Somewhat Progressive,Graduated college,English
1452,58,FEMALE,female,WHITE,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Hold a higher degree,ENGLISH
1340,33,Woman,female,Black,Black,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Somewhat Progressive,Graduated high school,English
1295,18,male,male,AA,Black,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Moderate,Graduated high school,english
1394,57,female,female,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Conservative,Some college,English
1526,47,"nonbinary, anatomically female",nc,white,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Very Progressive,Graduated high school,English
1569,26,NonBinary,nc,African American,Black,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Progressive,Some college,english
1465,58,Female,female,Black,Black,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Hold a higher degree,Emglish
1307,31,male,male,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Graduated college,English
1379,53,Male,male,Black,Black,"Southwest - AZ, NM, OK, TX",Moderate,Some college,English
1364,64,female,female,caucasian,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Progressive,Graduated high school,english
1352,34,,,Black,Black,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,,English
1439,25,Male,male,Latino/hispanic,Latinx,"Southwest - AZ, NM, OK, TX",Very Progressive,Graduated college,English
1406,58,female,female,white,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Hold a higher degree,English
1334,46,female,female,blasian,Mixed,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Progressive,Hold a higher degree,english
1418,73,male,male,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Conservative,Some college,english
1490,25,Male,male,Asian,Asian,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Somewhat Conservative,Graduated college,English
1455,36,Man,male,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Hold a higher degree,ENGLISH
1304,39,male,male,White,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Conservative,Graduated high school,English
1337,47,female,female,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Some college,english
1388,60,Female,female,White,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Conservative,Graduated high school,English
1551,22,Non Binary,nc,White,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Conservative,Graduated college,English
1403,35,Female,female,White,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Hold a higher degree,English
1424,52,male,male,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Hold a higher degree,english
1442,45,female,female,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Conservative,Hold a higher degree,english
1346,41,male,male,native hawaiian,Native,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Graduated high school,english
1572,24,male,male,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Graduated college,english
1325,26,female,female,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Progressive,Graduated college,English
1397,33,f,female,asian,Asian,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Progressive,Hold a higher degree,eng
1514,42,non binary,nc,White,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Moderate,Some college,English
1578,26,Non-Binary,nc,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Graduated college,English
1301,37,Male,male,White,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Somewhat Conservative,Graduated high school,English
1483,47,male,male,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Moderate,Graduated college,english
1400,23,Female,female,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Graduated college,English
1391,39,Male,male,white,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Conservative,Some college,English
1544,33,Trans Male,male,Multiracial,Mixed,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Graduated high school,English
1349,29,male,male,Latino,Latinx,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Somewhat Progressive,Graduated high school,English
1373,35,female,female,white,White,"Southwest - AZ, NM, OK, TX",Somewhat Conservative,Graduated college,english
1331,47,Female,female,White,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Moderate,Some college,English
1484,40,male,male,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Moderate,Graduated college,english
1328,33,Female,female,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Graduated college,English
1370,38,male,male,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Graduated college,english
1409,27,Male,male,black,Black,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Graduated college,English
1421,42,Male,male,African American,Black,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Progressive,Graduated college,English
1289,29,Male,male,White,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Moderate,Hold a higher degree,English
1343,42,female,female,white,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Somewhat Conservative,Graduated college,english
1469,55,Female,female,Black,Black,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Conservative,Graduated college,English
1517,21,Agender,nc,Asian,Asian,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Graduated college,English
1415,40,Male,male,Asian,Asian,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Progressive,Some college,English
1361,24,Male,male,Black,Black,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Graduated high school,English
1563,29,nonbinary,nc,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Graduated college,english
1547,24,Transmasculine,nc,white,White,"Southwest - AZ, NM, OK, TX",Very Progressive,Graduated college,English
1445,56,Male,male,Caucasian,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Graduated college,English
1412,53,remale,female,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Graduated high school,English
1538,27,Agender,nc,White,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Somewhat Progressive,Graduated high school,English
1532,32,Nonbinary,nc,White/European American,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Hold a higher degree,English
1554,26,Non-binary,nc,White,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Moderate,Some college,English
1591,24,nonbinary,nc,white,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Graduated high school,english
1382,40,female,female,white,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Very Progressive,Hold a higher degree,english
1584,35,agender,nc,white,White,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Very Progressive,Graduated college,English
1478,62,female,female,white,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Conservative,Hold a higher degree,English
1575,25,Trans,nc,Latine,Latinx,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Very Progressive,Graduated college,Spanish
1598,33,Non Binary,nc,Native American / White,Native,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Very Progressive,Graduated college,English
1529,25,Agender,nc,White,White,"Southwest - AZ, NM, OK, TX",Very Progressive,Graduated high school,English
1433,62,Male,male,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Conservative,Hold a higher degree,English
1472,28,male,male,white,White,"Southwest - AZ, NM, OK, TX",Somewhat Conservative,Graduated college,english
1560,35,non-binary,nc,multiracial,Mixed,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Graduated college,english
1313,55,Woman,female,White,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Somewhat Conservative,Graduated college,English
1448,33,Male,male,White,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Conservative,Some college,English
1367,56,Male,male,Black,Black,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Graduated college,English
1499,28,Nonbinary,nc,White,White,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Very Progressive,Graduated college,English
1427,18,Man,male,African-American,Black,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Some college,English
1520,21,Female,female,White,White,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Somewhat Progressive,Graduated high school,English
1557,21,male,male,hispanic,Latinx,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Moderate,Some college,english
1523,23,Non-binary,nc,White,White,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Very Progressive,Some college,English
